Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Olsson P., Folke C., Hahn T.","34572074500;7006090884;9742259300;","Social-ecological transformation for ecosystem management: The development of adaptive co-management of a wetland landscape in southern Sweden",2004,"Ecology and Society","9","4",,"","",,556,"10.5751/ES-00683-090402",2-s2.0-4243132805
[No author name available],[No author id available],[No title available],2021,,,,,"","",,,,2-s2.0-85161319965
"Park S.E., Marshall N.A., Jakku E., Dowd A.M., Howden S.M., Mendham E., Fleming A.","53985099700;7102430794;16402116700;37101339700;7004004338;16029012500;56108561200;","Informing adaptation responses to climate change through theories of transformation",2012,"Global Environmental Change","22","1",,"115","126",,373,"10.1016/j.gloenvcha.2011.10.003",2-s2.0-84855994091
"Pascual U., McElwee P.D., Diamond S.E., Ngo H.T., Bai X., Cheung W.W.L., Lim M., Steiner N., Agard J., Donatti C.I., Duarte C.M., Leemans R., Managi S., Pires A.P.F., Reyes-García V., Trisos C., Scholes R.J., Pörtner H.-O.","8318429700;24537336400;55003210900;57789483400;16306411200;57484627900;56173371100;7006954827;56633081900;23569141900;55636631300;7004379793;13609873900;35119504500;6507160889;49561956200;7006270945;7006494177;","Governing for Transformative Change across the Biodiversity-Climate-Society Nexus",2022,"BioScience","72","7",,"684","704",,15,"10.1093/biosci/biac031",2-s2.0-85122857202
"Patterson J., Schulz K., Vervoort J., van der Hel S., Widerberg O., Adler C., Hurlbert M., Anderton K., Sethi M., Barau A.","7402407779;56909458200;36054026400;56996103400;56090482400;55385753000;35098978100;54394973600;56642483800;56990015000;","Exploring the governance and politics of transformations towards sustainability",2017,"Environmental Innovation and Societal Transitions","24",,,"1","16",,332,"10.1016/j.eist.2016.09.001",2-s2.0-84994777470
"Pelling M., O’Brien K., Matyas D.","7003350514;56363117200;55211761900;","Adaptation and transformation",2015,"Climatic Change","133","1",,"113","127",,413,"10.1007/s10584-014-1303-0",2-s2.0-84951569753
"Pretlove B., Blasiak R.","",[No title available],2018,,,,,"","",,,,2-s2.0-85161356961
"Rice W.S., Sowman M.R., Bavinck M.","57113132800;6601965418;6508181587;","Using Theory of Change to improve post-2020 conservation: A proposed framework and recommendations for use",2020,"Conservation Science and Practice","2","12","e301","","",,17,"10.1111/csp2.301",2-s2.0-85104041867
"Rudolph T.B., Ruckelshaus M., Swilling M., Allison E.H., Österblom H., Gelcich S., Mbatha P.","57218159661;6602133791;26541595000;7006279993;6505898338;8563637100;57205283928;","A transition to sustainable ocean governance",2020,"Nature Communications","11","1","3600","","",,83,"10.1038/s41467-020-17410-2",2-s2.0-85088088072
"Sachs J.D., Schmidt-Traub G., Mazzucato M., Messner D., Nakicenovic N., Rockström J.","7101926169;6508108051;7003892124;23467311200;56014503100;6603746245;","Six Transformations to achieve the Sustainable Development Goals",2019,"Nature Sustainability","2","9",,"805","814",,661,"10.1038/s41893-019-0352-9",2-s2.0-85071425622
