Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Voß J.-P., Smith A., Grin J.","24767026300;55740330500;6603701820;","Designing long-term policy: Rethinking transition management",2009,"Policy Sciences","42","4",,"275","302",,301,"10.1007/s11077-009-9103-5",2-s2.0-72449165827
"Avelino F.","","Power in Transition: Empowering Discourses on Sustainability Transitions (PhD Thesis)",2011,"Power in Transition: Empowering Discourses on Sustainability Transitions",,,,"","",,87,,2-s2.0-84860225833
"Hoffman J.","55599710100;","Theorizing power in transition studies: The role of creativity and novel practices in structural change",2013,"Policy Sciences","46","3",,"257","275",,57,"10.1007/s11077-013-9173-2",2-s2.0-84884144039
"Pel B.","36053714100;","Trojan horses in transitions: A dialectical perspective on innovation ‘capture’",2016,"Journal of Environmental Policy and Planning","18","5",,"673","691",,46,"10.1080/1523908X.2015.1090903",2-s2.0-85019313236
"Loorbach D., Wittmayer J.M., Shiroyama H., Fujino J., Mizuguchi S.","","The challenge of sustainable urban development and transforming cities",2016,"Governance of Urban Sustainability Transitions: European and Asian Experiences",,,,"3","12",,91,,2-s2.0-85012284897
"Frantzeskaki N., Broto V.C., Coenen L., Loorbach D.","7801567129;26321347500;10540364400;24450788200;","Urban sustainability transitions",2017,"Urban Sustainability Transitions",,,,"1","380",,87,"10.4324/9781315228389",2-s2.0-85027820954
"Jhagroe S., Loorbach D.","55556428600;24450788200;","See no evil, hear no evil: The democratic potential of transition management",2015,"Environmental Innovation and Societal Transitions","15",,,"65","83",,35,"10.1016/j.eist.2014.07.001",2-s2.0-84930047259
"Arentsen M., Bellekom S.","6508226171;6508362954;","Power to the people: Local energy initiatives as seedbeds of innovation?",2014,"Energy, Sustainability and Society","4","1",,"","",,60,"10.1186/2192-0567-4-2",2-s2.0-84893437627
"Späth P., Rohracher H.","24391415400;15847037100;","'Energy regions': The transformative power of regional discourses on socio-technical futures",2010,"Research Policy","39","4",,"449","458",,269,"10.1016/j.respol.2010.01.017",2-s2.0-77950065447
"Avelino F., Dumitru A., Longhurst N., Wittmayer J., Hielscher S., Weaver P., Cipolla C., Afonso R., Kunze I., Dorland J., Elle M., Pel B., Strasser T., Kemp R., Haxeltine A.","","Transitions towards new economies? A transformative social innovation perspective",2015,"Transitions towards new economies? A transformative social innovation perspective, TRANSIT working paper #3",,,,"","",,22,,2-s2.0-84976576744
"Haxeltine A., Avelino F., Wittmayer J., Kemp R., Weaver P., Backhaus J., O'Riordan T.","","Transformative social innovations: A sustainability transition perspective on social innovation",2013,"Transformative Social Innovation: A Sustainability Transitions Perspective on Social Innovation",,,,"","",,41,,2-s2.0-84939484864
"Holling C.S.","","Resilience and stability of ecological systems",1973,"Annual Review of Ecology and Systematics","4",,,"1","23",,10107,,2-s2.0-0002054228
"Gunderson L.H., Holling C.S.","","Panarchy: Understanding transformations in human and natural systems",2002,"Panarchy: Understanding Transformations in Human and Natural Systems",,,,"","",,4360,,2-s2.0-0003655076
